Gene	uvb1_S1	uvb2_S2	uvb3_S3	uvb4_S4	clone2a_S5	clone2b_S6	clone2c_S7	clone2d_S8
GM43009	0	0	0	0	0	0	0	0
GM47943	0	0	0	0	0	0	0	0
FAM71F1	8.10859	1.21422	0	0	0	0	0	9.53462
GM45448	0	0	0	0	0	0	0	0
KIF11	0	0	2.57544	0	12.0364	0	0	0
VPS39	0	0	6.62347	0	0	0	5.29045	10.5122
GM11560	0	0	0	0	0	0	0	0
PIEZO1	16.0415	0.323247	7.10981	3.10686	85.6429	0	2.29879	13.9321
LPO	0	0	0	0	0	0	21.4453	0
SCUBE3	46.3704	55.0237	16.3286	24.7577	0	134.049	21.3663	48.448
COA4	35.9471	0.18459	0	0	0	6.13797	2.18151	1.67915
GM44739	0	0	0	0	0	0	0	3.39001
CDK19	0	0	0	0	0	0	0	0
2410131K14RIK	0	0	0	0	0	0	0	0
AC134333.1	0	0	0	27.1103	0	0	4.49844	28.858
SEMA3D	0.0874074	0	13.1769	7.29331	6.35428	0	2.75001	3.7292
GM8637	0	0	0	0	0	0	0	0
GM47708	0	0	0	0	0	0	0	0
RIF1	15.1609	0.00402057	6.67201	16.7711	7.56065	0.0752718	6.60083	4.87331
ERCC5	19.1965	19.2404	24.4146	32.4628	18.5619	35.5563	54.5305	39.5783
GM44296	0	0	0	0	0	0	0	0
OLFR981	96.0439	89.1226	35.3129	60.7053	0	21.351	0.433527	35.4795
GM44530	0	0	0	0	0	0	0	0
BORCS7	0	0	8.9651	0	0	0	0	0
SEC31B	12.4872	0	1.29379	2.21172	0.216114	0	0	0
TPTE	0	4.60731	11.1247	3.11243	6.87125	0	8.40936	11.4892
SOCS4	0	0	0	0	0	0	0	0
CLDN15	44.3625	44.7413	54.5507	51.5634	65.0202	9.94348	40.5581	62.347
GM35911	44.4473	0	0.755472	2.59546	0	0	0	0.334362
EPHA3	0	0	0	0	1.2933	8.01534	0	0
GM8757	0	0	0	0	0	0	0	0
GM38010	0	0	0	0	0	0	0	0
GM22851	0	0	0	0	0	0	0	0
EGFROS	46.2029	0	101.952	0	40.8478	6.99989	56.6059	35.6218
AAK1	11.1467	53.3241	14.6343	31.4585	10.2824	1111.14	10.9691	11.7095
OLFR137	0	0	0	0	0	0	0	0
GM15333	0	0	0	0	0	0	0	0
SPARCL1	0	0	0	0	0	0	0	0
GM28289	0.253843	0	0	0	1.73082	12.7611	0	1.88614
MYL4	95.7005	139.85	112.672	84.6986	147.413	0	222.574	333.246
AU019990	0	0	0.0308269	2.48136	0	1.85721e-05	0	0.0354797
GM28552	0	0	0	0	0	0	0	0
4932413F04RIK	0	0	0	0	0	0	0	0
GM29275	61.7709	32.7062	0.0672899	34.7625	17.9619	232.895	0	26.6748
GM25458	0	0	0	0	0	0	0	0
TRGJ3	107.785	102.015	65.3183	51.3542	17.9409	44.9087	12.8686	9.64567
LPAR4	0	0	0	0	0	0	0	0
OLFR1016	0	14.4567	24.6273	0	0	0	0	0
KRT2	0	0	0	0	0	0	0	0
GINM1	59.0641	0	110.315	86.1898	46.5837	25.0056	45.0598	63.9477
GZMM	0	0	0	0	0	0	0	0
YEATS4	25.6191	9.06724	7.05685	11.7779	9.37283	15.1013	8.77746	16.7209
GM9939	0.176462	0.155798	0.0450865	2.45878	5.0602	8.17121	0.0293744	3.39062
OLFR608	1.8492	0.025839	0.291573	1.26074	7.59861	0.0729411	2.35967	0.0303701
GM5535	0.172116	25.2722	16.6406	52.366	71.691	573.867	10.6521	16.3056
AGBL4	335.755	574.272	285.937	298.96	1037.21	302.176	533.741	340.282
PLTP	0	0	3.5416	0	0	0	0.0124242	1.06079
ADCY8	0	0	0.38763	0	0	0	2.92096	0
GM11699	0	23.0062	21.6237	34.5963	49.769	30.464	45.9589	48.9175
DPM1	69.0729	36.3334	35.5833	0	36.1632	0	24.3831	64.6564
ISL1	0	0	9.03276	1.63431e-06	0	0	4.81177	2.71131
GM23310	0	0	4.9113	0	0	0	0	0
HIST1H3G	0.000297527	0	0	0	3.46405e-06	0	2.85199e-06	0
OLFR138	0.0123666	0	11.087	0.00989007	0.0120164	58.0235	47.5917	0.478
MOB1B	48.349	18.9814	40.0225	48.1904	19.9753	0.000176639	38.0956	65.8046
PDGFD	1.07687e-08	0	1.62888e-08	5.81131e-07	0	5.13655e-06	0.27495	1.03496e-07
UBE2S	205.206	0	9.16476	0	0	0	0	0
AL626769.3	0	0	0	0	0	0	0	0
GM12108	0	0	0	0	0	0	0	0
GM6899	9.4131e-05	0	0	0	1.08175e-06	0	9.16334e-07	0
GGT6	0	0	0	0	0	0	0	0
GM17917	0	0	0	0	0	0	0	0
ZFP641	7.26839e-06	0	0	5.33152e-06	6.40094e-06	0	9.4276e-10	3.88908e-06
SCGB1B19	0	0	0	0	0	0	0	0
ATXN7L3B	8.32004	2.89957	9.71893	15.0043	4.08135	30.382	13.0962	11.926
RRP36	0	0	0	0	0	0	0	0
CYPT1	0	0	0	0	0	0	0	0
BTBD1	0	0	0	0	0	0	0	3.41009
TRDC	0	0	0	0	0	0	0	0
SEMA6B	0	305.954	120.112	254.4	0	0	0	0
2700033N17RIK	0	0	0	0	0	0	0	0.995627
DDX4	23.1115	46.4376	81.3278	0	0	52.6873	55.0095	46.1729
SLC35F6	0	17.5377	15.2972	29.8422	21.1854	0	31.3419	29.5792
SERPINC1	0	0	1.29356	0	0	0	0	1.23356
GM20546	0	0	0	0	0	0	0	0
GM6579	0	0	10.0835	0	0	0	0	0
GM47653	0	0	0	0	0	0	0	10.1899
ZFAND1	0	13.1503	15.9987	3.8528	25.8688	0	18.6693	32.1098
C730034F03RIK	0	3.35197	4.48855	6.96439	6.9743	8.87978	5.85145	6.2195
CR2	10.9912	6.54405	24.9092	1.36628	27.0161	0	10.2646	22.4358
MIR6237	0.809605	0	0	15.9382	0	35.2743	8.14473	0
CYP2C65	0	0	0	0	0	0	0	0
MSC	0	140.059	0	0	0	0	19.1459	0
XPOT	12.7494	456.467	28.9816	20.7769	10.346	0	192.558	62.549
MTMR11	4.84927	27.2586	7.84395	13.291	63.6103	0.702719	34.9241	22.2589
ZGLP1	0	0	0.000278998	0	0	0.00187057	0	1.18993e-05
ANAPC4	0	0	1.1287	0	0	0	0	0.000309112
TRMT5	0	0	0	0	0	0	0	0
GM9194	0	0	0	0	0	0	0	1.76446
OLFR902	2.36996	0	2.99876	0	0	0	1.39608	0
ASNS	18.1985	31.9627	19.4488	0.0210517	35.5373	0	18.3916	38.7344
OLFR997-PS1	0	0	0	0	0	0	0	0
AC161172.2	0	0	0	0	0	0	0	0
AC164978.2	0	0	4.14468	1.87491	0	0	1.4166	1.24024
CDAN1	4.93933	1.37341	77.9434	21.4634	47.8756	16.0175	51.4652	17.1858
GM40639	0	0	0	0	0	0	0	0
OLFR295	0	0	0	0	0	0	0	0
SSB	40.9112	14.6697	13.5829	0.449082	0.182838	0.0583539	16.6091	17.5449
RIPK3	0.00829733	0	0.00744525	2.16011	0	0	0.00685064	3.37137
FDPS	610.958	1381.63	672.908	585.684	721.577	0	868.659	1081.95
GM12945	0	0	0	0	0	0	0	0
S100B	0	0	0	0	0	0	0	0
ZFP871	0	4.8463	0	0	0	0	0.261241	0.413919
AC146980.2	0.00889436	0.00105803	0.0137535	0.0106778	0.151964	0.0223589	0.659129	0.990234
GM35657	0	0	0	0	69.2565	89.8936	8.5963	1.06641
SNX7	0	0	0	0	58.0267	0	0	0
GM29531	74.3493	15.8723	76.3791	0	44.3111	21.0495	85.7792	159.435
AC124426.1	91.2039	0	52.4672	11.7085	96.649	0	505.352	316.328
CCDC85C	38.6744	71.697	9.9089	28.74	243.62	0	160.06	166.142
PM20D1	93.4303	48.9222	100.51	156.031	74.8601	4.77468e-09	148.239	138.541
GM31711	0	0	0	0	0	0	0	7.67544
VMN2R-PS35	0	0	0	0	0	0	0	0
GM7979	0	25.8157	0	0	0	0	0	23.1671
GM20637	0	0	0	0	0	0	0	0
CATSPER3	0	47.1498	0	7.43557	45.1505	11.6692	29.3364	17.0976
RPS29	0	0	0	0	0	0	0	0
GM12446	3.13492	22.4339	21.7365	35.8726	27.2447	0	7.50195	18.8128
GM43763	0	109.311	0	0	0	0	0	0
4930423M02RIK	0	9.72939	0	0	0	0	4.35111	0.403795
RAB15	0	0	2.44367	0	0	0	4.86287	3.16829
SEPSECS	0.00755532	43.9018	0.324454	3.24203	71.4181	1.39416	2.70386	12.4832
MTUS1	116.284	17.9737	93.3129	92.9069	50.6613	173.651	71.3207	71.5859
TIMM10	0	0	0.0526182	6.74722	50.0254	0	0.0994571	20.5386
GM28429	0	0	0	0	0	0	0	0
NECTIN2	0.0849556	0.108499	1.35848	1.39458	3.82836	0.0924427	2.3108	1.44136
VMN1R132	0	0	0	0	0	0	0	0
NAMPT	0	0.0215874	13.3756	14.6663	0	0	0	19.8438
GM48483	0	0	0	0	0	0	0	0
CYP2D26	0	0	0	0	0.537405	0	6.81076	0
IKZF1	12.5404	31.9149	3.85521	32.5922	0	0	12.4496	10.5362
GM17060	0	0	0	0	0	0	0	32.4325
GM35368	0	0	3.11081	0	0	15.611	0	1.3475
MIR466C-1	0	0	0	0	0	0	0	0
GM37112	0	0	0	0	0	0	0	0
FXYD3	44.8846	78.692	51.2733	19.9536	57.9976	0	66.8433	46.4949
GM18775	0	0	0	0	0	0	0	0
GM4644	0	0	0	0	0	0	0	0
GM32061	136.28	4.26471	13.8181	0	141.002	0	31.671	0
CAAA01205117.1	0	0	0	0	0	0	0	0
TCTEX1D4	0	0	0.65113	0	0	0	0	0
GM13686	0	0	3.04176	0	0	0	39.7629	0
KIF20B	122.417	0.554335	59.2991	0.156389	21.6587	0.370185	2.67844	28.4288
FAM160B1	0	0	0.0129279	9.06185	0	0	0	0
GM27551	0	0	0	0	0	0	0	0
FCGR1	0	0	0	0.21304	0	0	0	0
GM11594	19.8068	7.30402	14.0838	17.7565	0	23.9246	18.7461	34.8115
2010204K13RIK	0	0.0122197	0.0149669	0.0180196	0.00870762	0.0140064	0.0278135	0.0194669
C1QTNF5	0.389269	7.76542	4.95336	3.26674	0.0495885	0	3.83006	2.78202
GM4909	0	0	0	0	0	0	0	0
ZFP326	71.0778	155.202	71.5449	54.7365	0.00805119	0	36.3526	58.5408
IDI1	0	0	0	0	4.16527	0	0	0
POLR2C	0	160.842	56.1857	20.4516	0	0	38.4001	33.3402
TIMM8B	0	0	0	0	0	0	0	0
AMER3	0	0	0	0	0	0	0	0
GM32220	0	0	0	33.0178	2.02941	0	0	1.89452
RPS3A2	0	0	0	0	0	0	0	0
CFP	48.6449	0	75.4482	3.56564	55.5823	0	22.5262	31.2295
TEX26	4.47396	33.5157	0	10.0734	0	0	0	0.115649
GM2136	0	0	0	0	0	0	0	0
GM12819	0	0	0	0	0	0	1.38647	1.84307
HELZ	0	10.9649	8.31403	15.5346	0	0.302314	0	10.6885
ZMAT5	0	0	2.2971	0.121413	0	0.31994	0.15399	6.04264
GM29424	0	0	0	0	0	0	0	0
CUTAL	0	4.07193	2.76767	75.7497	6.56469	62.6724	10.2347	20.5262
GM4373	0	0	0	0	0	0	0	0
SLC25A19	0	0	32.1906	15.2551	171.027	0	10.8724	20.7288
RMND5B	73.6834	0	72.9179	34.2667	0	0	0	4.88756
GM15846	0	0	0	0	0	0	0	0
GM43365	7.80754	0	0	0	0.0356627	0	0	1.10873
RPL32	0	0	0	0	0	0	0	6.648
DCUN1D1	1966.03	2958.85	1601.5	2584.43	4504.36	456.117	3681.48	3231.87
GM43381	0	0	0	0	0	0	0	0
NESPAS	0	0	1.56545	23.2204	0	0	11.8374	0.152508
GM42859	0	0	0	0	0	0	0	0
GM29514	0	0	12.3855	0	0	0	0	0
GM20836	0	0	0	0	0	0	0	0
SEC63	6.67475	53.2119	20.067	25.655	7.46645	245.075	45.9893	41.4768
GM43281	0	0	0	8.03406	0.165084	36.5809	9.53263	0.228077
ENSA	0	0	0	0	8.71753	0	12.8651	0
GM3084	0	0	0	0	0	0	0	0
UBQLN4	0	43.7397	0	4.80757	0	0	1.65329	11.3009
OSTC	45.245	90.3878	27.9348	0	0	0	0	0
SFT2D3	1.26935	1.06304	2.21566	1.64335	3.3378	0	11.1651	2.61485
GM48256	0	0	0	0	0	0	0	0
SIKE1	20.716	0	0	10.5839	2.63806	0	4.67068	0.375975
RPTOR	0	26.8373	0	0	43.2116	80.6484	22.7169	40.0958
GM44225	0	0	0	0	0	0	0	1.40974
GM17334	0	0	6.75777	0	0	0	0	0
GPR63	25.7262	0	0	0	0	0	0	4.9231e-05
PTPMT1	122.611	87.6974	74.7037	217.566	291.993	0	14.8453	45.6681
OLFR1138	0	0	0	0	0	0	0	0
PPP1R14C	29.6161	0	0.714074	0.00077258	36.7829	0	0	0
BAZ2A	0	0	0	0	0	0	0	1.76259
GM829	0	0.0725314	0	0	0	0	0.00383891	0
GM26979	0	0	0	0	0	0	0	0
CHAF1B	8.87683	41.9772	19.071	29.9137	0	48.2757	36.2562	29.1778
TXNL4B	0	0.0130562	11.8283	16.3235	0.0122392	0	0	0
9130019P16RIK	0	0	0	0	0	0	0.439877	0.00618902
ANG-PS2	0	0	0	0	0	0	0	0
IGKV5-43	0	0	0	0	0	0	0	0
KLK1B27	41.432	46.4933	24.1742	21.8034	0	24.5058	25.6743	34.7856
FRS3	0	0	26.7777	0.0256415	6.83941	0	8.0427	0.384006
PAPPA2	0	0	16.9586	0	80.8555	0	0	0
4930447M23RIK	0	0	0	0.21484	0	0	15.1077	6.89991
MMD2	23.0968	0	1.84946	35.9176	88.7413	0	0.864711	2.76964
SAMD13	0.0908734	53.6002	96.2572	47.5626	34.9183	12.1822	0	60.5226
CLVS1	173.243	140.885	149.002	53.854	55.3255	0	106.854	244.926
HPF1	1.17073	2.72131	2.60682	3.92277	3.46921	0	2.73367	3.40502
GM28130	0	0	1.16015	0	0	0	0	0
CCDC186	23.0126	0	23.8551	0	58.8895	0	0	0
PAPOLA	86.4135	30.739	46.362	39.6122	36.6983	327.065	40.1526	42.6772
PRPS2	0	4.48012	5.16147	0.740456	0	11.9413	18.3001	29.4761
GM48782	0	0	0	0	0	0	0	0
MATK	6.29927	0.15978	0.560443	0	0	0	15.7772	0
IGHJ4	0	120.748	128.821	57.2906	370.396	72.6646	296.507	550.951
FBXL12OS	63.7955	31.8097	37.0474	20.6431	0	20.3092	90.9176	79.9673
GM35108	0	0	0	0	0	0	0	0
WDR81	0	0	0	0	0	0	0	0
NCOR2	34.956	92.1507	54.8441	0	0	86.9574	45.7862	56.857
ALG6	0	0	6.31526	0.60762	0	0	0	0.382748
SYN2	0	0.19276	59.8887	90.5416	0	0	0	49.2851
GM30600	17.6969	0	0	0	0	0	29.0415	0
VPS13A	0	0	4.62709	0	0	0	0	12.5896
SLC24A3	0	0	39.2218	1.80305	16.3814	0	3.27786	3.58032
LMOD3	0	0	0	0	0	0	0	0
4930564D02RIK	0	0	0	0	0	0	0	0
ZIM1	35.9752	137.418	52.8544	58.1777	156.332	78.3155	72.8578	68.5054
MRPL18	43.3595	0.683378	0.943911	163.118	0	0	1.57468	84.2351
GM12715	0	0	0	0	0	0	0	0
GM12452	0	0	0	0	0	0	0	0
A530065N20RIK	0	0	0	0	0	0	0	0
GM14642	0	0	0	0	0	0	0	0
SMARCD2	69.5176	76.1205	55.9783	79.1346	15.0952	0	24.5698	58.0293
GM16068	0	11.8108	2.73647	0	0	0	1.24613	3.44683
CRXOS	181.461	0	109.681	168.962	157.034	49.7861	89.2903	125.815
GM8101	0	0	0	0	0	0	0	0
RALBP1	71.6017	52.4836	33.016	48.4779	104.015	5.08824	37.025	70.5817
GM5318	0	0	0	0.0401949	0	0	7.04805	0
COPZ2	0	0.0441339	0	0	0	0	0.112688	0
CCDC150	51.0677	45.7087	28.219	45.9184	60.4166	8.83867	37.8665	53.253
GM29218	0	0	0	0	0	0	0	0
GM15504	0	0	0	0	0	0	0	0
CMC4	0	26.2692	9.38747	0	0	0	0	2.01558
NLRP4E	0	0	0	0	0	0	4.81125	0.0550357
UTP11	18.324	0	0.31762	28.8147	29.0423	0	13.5884	15.8712
INSRR	255.645	233.604	231.991	98.9902	286.82	206.573	119.655	120.54
P4HA2	3.07584	3.42589e-10	3.80297	1.65877	0.132087	2.67034	2.75182	4.42462
DCSTAMP	1.43245	0.0342067	10.5522	3.75643	17.776	9.33693	5.90975	11.936
AC122251.2	17.9923	0	45.2861	98.6539	152.069	4.20851	49.8448	9.34725
ATAD2	0	64.5007	0.479506	1.09246	85.8599	133.812	3.63405	42.503
GM15057	0	0	0.100738	0	0.0721329	0	0	0
GM29147	0	0	0	0	0	0	0	0
VAMP3	16.3479	6.22907	3.29274	2.94049	28.7621	0	9.74941	19.0482
COL6A5	0	0	0	0	1.86572	0	0.973772	0
GM45900	0	0	1.53156	0	0	0	0	0
SPICE1	0	0	1.94745	2.48564	0	0	0.678555	11.9641
RPS19-PS10	0	0	0	0	0	0	0	0
GM48895	2.4938	1.13202	0	0	23.1619	1.64626	1.65825	3.89927
GM45719	0	0	0	1.1927	0	0	0	0.00347103
9930111J21RIK2	1.48866	0.0753668	0.0412892	4.49728	4.21798	2.69736	4.69231	3.85028
USP32	5.49524	111.578	9.20398	14.0405	165.73	251.51	20.2113	5.96512
GM15982	0	0	0	0	0	0	0	0
MPV17	93.7784	0.0165395	0.117919	2.33738	6.62955	0	15.4963	2.94619
SGSM1	63.6163	0.0500727	0	33.4084	0	0	12.4862	13.3196
GM609	5.08282	0	2.03092	0	0	0	21.8229	26.9439
OLFR1301	0	0	14.6826	5.75501	2.33132	0	0	9.1001
OLFR1022	20.7564	14.8292	4.096	3.61588	28.3271	0	1.15203	5.11732
CLMN	242.251	214.135	2.59546	20.9497	0.0146976	30.7924	38.5947	99.1074
4933413G19RIK	0	0	0	0.183386	0.0185283	0	0	0
OPTN	282.197	101.264	125.199	67.8316	142.941	0	66.1194	158.677
CTTNBP2NL	0	88.3655	0	0	0	190.475	22.4333	0
MMP2	13.9139	235.56	0	5.33295	0	1.1478	15.1776	10.1021
NUF2	0.0121662	0	0	0	0	0	0	0.697107
LRRFIP2	122.46	365.603	274.139	166.176	579.269	123.715	121.412	114.077
CCDC13	0	0	61.6913	0	0	0	1.41851	2.91673
LHFPL3	7.34108	0	4.83302	11.9412	0	9.10426	14.5216	9.81079
FCNB	0	0	0	0	0	0	0	0
SLA2	8.19634	0	0.105308	0	4.91435	0	5.50991	11.4086
AC121997.2	0	48.9277	0	0	0	0	0	0
POLR2E	241.452	387.7	199.731	148.33	361.726	210.556	262.93	380.722
GM20382	0	0	0	0	0	0	0	0
AC121298.1	0.0205615	0	0.00476208	0	0	0.0998305	0	0.00490144
CDKN1A	9.87778	0	1.39699	0	3.04861	7.16152	0.893584	6.18889
MIR7210	80.1477	0	33.0104	30.3275	13.0579	0	8.93697	5.73883
MIR3967	0	0	0	0	0	0	0	0
GM9825	0	0	0	0	0	0	0	0
OLFR268-PS1	0	0	0	0	0	0	0	0
IBSP	0	0.0578445	140.406	175.677	7.21062	52.9939	0	0.0210746
OLFR1353	0	0	0	0	0	0	0	0
AKTIP	41.6337	0.0971549	10.0533	50.8482	6.2767e-08	3.36233	48.0902	8.20916
GM29669	0	0	0	0	0	0	0	30.3837
SERPINB9F	9.41703	0	0	0	0	0	2.43881	4.65918
KLRB1F	0	12.3046	5.42221	0.488692	3.99431	0	9.57042	13.2623
AC154598.2	0	0	0	0	0	0	0	1.17645e-07
GM8094	0	0	0	10.6982	0	0	0	0
LYPD1	0	0	0	13.0294	0	0	3.77576	0
GM8894	0	0	0	0	0	0	0	0
RUSC2	2.86179	83.6968	45.9691	54.7605	15.0975	6.07856	61.0605	46.8488
GM10338	13.5048	0	11.1033	1.33415	20.4625	10.3877	11.6651	13.0929
PTGDS	0	0	0	0	0	0	0	2.28874
TEKT4	0	0	0	0	0	0	0	0.00539276
MYCBP2	36.4717	0	3.45972	0	0.335193	0	4.08983	11.8177
IP6K1	44.6686	1.2125	3.1794	0	11.5603	10.2087	18.5474	15.1056
BID	1091.37	2131.25	912.507	1071.65	2055.49	0	2284.9	2307.47
POP4	85.2695	124.634	217.173	48.5802	101.196	188.534	43.1428	67.4345
NAT1	45.0354	64.6002	38.2772	93.6128	22.2122	84.5618	58.2811	38.9252
GM14363	0	0	0.791582	0	0	0	4.16648	0
AC118733.1	6.3471	0.124062	0	6.14854	0	0	0	8.56628
GM44518	0	0	0	0	0	0	0	0
FBXW11	10.2341	19.6437	0.0233025	5.2729	0.842366	0	0.165683	5.46198
VMN1R-PS141	0	0	0	0	0	0	0	0
AC161199.1	2.53804	0.505824	0	0	0	0	3.29056	1.80349
INTS4	11.0876	16.8548	134.239	89.704	0	396.775	130.937	53.8354
1700129C05RIK	0	0	0	0	0	0	0.554619	0
ISL2	0	0.108566	52.8744	29.1	0	0	0	0
GM20613	229.355	16.2372	0	40.0591	275.117	0	108.071	13.4743
GM23646	0	0	0	0	0	0	0	0
GM44089	0	0	4.64557	0	0	0	0	0
CCNT2	0.0666853	9.26704	0	0	245.397	0	0	10.6746
LIME1	81.6721	20.7766	78.5768	66.8949	20.2464	153.855	56.5884	91.3392
1700060C20RIK	25.9071	0.0422921	16.1153	0.0490495	0	0	0	2.26293
ZFP790	0	0	0	0.0389358	0.0144634	0	0	0
GM45069	0	0	0	0	0	0	0	0
OLFR478	13.0507	24.2282	4.71716	0	6.61693	23.9474	2.90974	0.374107
REST	0	0	0	0	0	47.7934	26.5801	0
SF3B2	43.0817	33.2945	19.1062	39.4364	19.2502	41.1811	37.3492	29.4619
KCNB2	0	0	0	0	0	0	0	0
OLFR1501	0	0	0	0	0	0	0	0
SLC27A2	0.0539049	88.2358	110.253	131.263	24.0273	54.506	89.8154	98.0863
CRABP2	22.828	82.032	41.5217	78.5908	86.5427	49.3411	38.7451	81.026
RUVBL2	20.2015	0	2.78748	0.118774	0	12.7341	2.73846	1.38616
6330411D24RIK	0.0158458	0	1.59755	0.518916	0.0188197	0	0.120261	0.35124
1700112D23RIK	0	0	0	0	0	0	0	0
TRAPPC9	61.7182	204.254	125.702	18.0312	40.7968	0	80.2654	87.0751
OLFR1186	0	0	0.0126342	0.0712619	0.0949366	0	0.0096541	1.05697
3300002I08RIK	9.03481	10.8106	0.544133	3.92084	0	0	1.54578	4.36817
SLC30A3	0	0	45.4308	85.8998	0	0	11.3638	14.7525
AC240971.6	0	0	1.68537	0	0	0	0	6.51468
GM26499	0	0.0969143	0	3.90612	0	0	0	0.00998085
AC113536.1	0	6.53297	18.0553	4.93703	0.0149177	0	25.8184	32.1656
GM44844	0	0	0	2.81792	0	0	0	0.250137
SMOK2B	10.8543	9.74132	0	0	0	40.4207	0	0.100432
CPXM1	4.81775	73.2171	11.5209	19.2297	0	0	3.02962	24.1761
SUPT6	0	0	0	0	0	0	0	0
GM5527	2.96583	0	0.027981	0	6.89819	48.9479	0	4.85879
CLCA3A1	0	0.0353066	0	0	0	0	0	0.284821
GM44622	0	0	0	0	0	0	0	0
N-R5S131	0	11.4718	12.2384	8.70072	0	0	1.1945	0
GM11484	0	0	0	0	0	0	0	0
DDR2	0	0	0	0	4.36394	0	4.62967	2.09028
GM37240	0	0	0	0	3.84947	0	0	0
STMN2	0	0	25.0239	0	0	0	0	17.3593
GM8197	33.6757	0	0	0.107621	0	0	23.131	13.32
GM37678	0	0	0	0	0	0	0	0
ABTB1	41.6345	59.5691	51.3597	19.3946	34.9643	0	50.6377	52.135
OLFR666	16.5169	48.9467	16.7788	9.89774	3.55138	0	25.1516	27.3868
GM47595	0	0	0	0	0	0	0	0
ATP4B	0	0	5.01946	0	0	0	0	4.87154
MMP8	0	0	0	0	0	0	0	0
GM47418	0	0	0	0	0	0	0	2.8006
GM12580	0	0	0	50.9006	0	0	0	0
GM48796	0	0	0	0	0	0	0	0
ARHGAP33	0	0	3.92168	9.19866	0	0	8.17333	2.64057e-09
OBOX3-PS5	0	0	0	0	0	0	0	0
GM20832	0	0	2.33628	24.5739	2.19252	0	0	0
GUCY2G	0	0	5.4699	15.6008	0	0	0	0
GM28943	0	0	0	0	0	0	0	42.8437
C430014B12RIK	25.1997	42.1353	58.0088	32.5359	34.5203	66.5669	32.4843	52.5842
GM8116	0	0	0	0	0	0	0	0.132362
PARD3BOS3	0	0	0	0	0	0	0	0
GM14831	0	0	0	0	0	0	0	0
ZFP101	0	0	5.32529	15.9205	0	0	0	7.13961
CYP2A5	0	0	2.69422	0.0173171	0	0	16.2578	27.6336
CNTRL	48.1277	105.542	46.3093	35.6131	54.5276	3.54614	48.1705	1.35451
SMAD7	0	0	0.0985423	0	0	0	0	35.4374
PODXL2	148.994	20.3451	36.5954	62.1672	68.2938	1.77928	49.8484	52.0375
6330549D23RIK	0	19.0478	18.9802	28.4638	0	0	15.3851	16.7523
OLFR587-PS1	0	0	0	0	0	0	0	0
GM47170	30.7676	0.738236	12.1109	0	0	0	0	11.2895
KLRA6	53.8914	0	0	0	0	0	33.5973	20.9192
ABCB1B	0.0160844	12.4572	57.5448	26.1633	366.165	3.0821	44.4729	99.2523
BBS7	7.09474	0.0117495	4.56711	4.58361	13.1558	21.7343	11.2543	18.7651
F630028O10RIK	0	0	82.1302	0	0	0	36.5356	0
GM5742	0	0	0	0	0	0	0	0
COL10A1	0	0	0	0	0	0	0	0
EIF3E	0	0	0	0	0	0	0	0
USP3	110.431	61.5074	59.2952	9.21591	17.556	0	15.6063	50.3691
ETV3	0	0	11.2163	2.61129e-10	0	0	0	0
OLFR1103-PS1	0	0	0	0	0	0	0	0
PPHLN1	119.911	94.532	0.0188361	3.47702e-09	0	0	0	11.8886
GM12670	0	0	0	0	0	0	0	0
CYP27A1	0	0	40.8014	255.247	0	0	3.01997	0
GM29099	0	0	0	0	0	0	0	0
SPATA4	0	0	0	0	0	0	0	0
OLFR1038-PS	105.984	0.361415	48.6852	0	0.00111383	0	135.731	57.3184
OLFR934	0	0	0	0	0	0	0	0
GM12790	0	0	0	0	0	0	0	0
GM10487	0	0	0	0	0	0	0	0
PROCA1	0	10.2763	1.6239	7.26804	2.33136	3.2664	0.0144508	4.9216
CPHX3	0	0	0	0	0	0	0	0
GM47745	0	0	0	0	0	0	0	0
D030028A08RIK	0	0	26.4453	21.7358	0	0	0	26.5106
GM13091	0	0	0	0	0	0	0	0
GM22149	0	0	0	0.426569	1.54886	1.13478	1.23223	6.00926
KRTAP5-1	14.1899	36.8004	46.552	10.6909	72.1586	57.2833	14.2684	69.7495
GM47991	18.8991	37.5636	0	0	8.62512	0	0	0
GM4754	0	0	0	0	2.25339	0	0	1.94081
ADAM28	0	0	13.2755	0	1.78398	757.223	29.5734	21.2413
FKBP5	89.3223	0	6.10724	156.503	0	442.182	31.9027	6.60426
TGIF2LX1	0	0	0	0	0	0	0	0
GM47425	0	0	0	0	0	0	0	0
GM17807	0	0	0	0	0	0	0	20.8016
GM45539	0	0	9.99396	0	0	0	10.4872	0
DIO3	0	0	0	0	0	0	15.5599	76.1679
FOXP2	162.719	212.607	55.2614	84.9448	8.1417	1.1681	25.7921	40.6287
COX6A1	0.00776964	0.434222	0.107251	0	0	0	0.00852407	0.103503
UQCRH-PS1	0	0	0	0	0	0	0	0
SLC26A4	0	0	0	0	0	0	0	0
DPEP2	0	0	0	0	0	0	0	0
GM21572	0	0	0	0	0	0	0	0
GM20409	0	0	0	0	0	0	0	0
PDK2	2.60671e-07	4.4019	19.5205	22.7053	40.0778	0	10.5104	21.2281
OAZ2	0	7.84644	3.1636	2.17656	3.84776	0	7.47213	30.852
L1TD1	2.12738	0	0.867615	0	3.5966	0	0	0.0416244
GM12069	0	0.0202442	0.0247347	0.0147987	0.0239076	0	1.22222	1.11624
NXPH1	251.237	189.901	407.577	283.666	519.842	333.493	203.235	285.346
